transcriber|e|http://rdaregistry.info/Elements/e/P20359|http://rdaregistry.info/Elements/e/P20477|http://rdaregistry.info/Elements/e/P20536
translator|e|http://rdaregistry.info/Elements/e/P20346|http://rdaregistry.info/Elements/e/P20464|http://rdaregistry.info/Elements/e/P20523
visual effects provider|e|http://rdaregistry.info/Elements/e/P20361|http://rdaregistry.info/Elements/e/P20479|http://rdaregistry.info/Elements/e/P20538
voice actor|e|http://rdaregistry.info/Elements/e/P20384|http://rdaregistry.info/Elements/e/P20502|http://rdaregistry.info/Elements/e/P20561
related person|m|http://rdaregistry.info/Elements/m/P30268|USE: related body|USE: related family
related body|m|USE: related person|http://rdaregistry.info/Elements/m/P30270|USE: related family
related family|m|USE: related person|USE: related body|http://rdaregistry.info/Elements/m/P30269
book designer|m|http://rdaregistry.info/Elements/m/P30349|http://rdaregistry.info/Elements/m/P30407|http://rdaregistry.info/Elements/m/P30436
braille embosser|m|http://rdaregistry.info/Elements/m/P30351|http://rdaregistry.info/Elements/m/P30409|http://rdaregistry.info/Elements/m/P30438
broadcaster|m|http://rdaregistry.info/Elements/m/P30347|http://rdaregistry.info/Elements/m/P30405|http://rdaregistry.info/Elements/m/P30434
caster|m|http://rdaregistry.info/Elements/m/P30353|http://rdaregistry.info/Elements/m/P30411|http://rdaregistry.info/Elements/m/P30434
collotyper|m|http://rdaregistry.info/Elements/m/P30357|http://rdaregistry.info/Elements/m/P30415|http://rdaregistry.info/Elements/m/P30444
contributor of cartography|m|http://rdaregistry.info/Elements/m/P30338|http://rdaregistry.info/Elements/m/P30396|http://rdaregistry.info/Elements/m/P30425
contributor of choreography|m|http://rdaregistry.info/Elements/m/P30339|http://rdaregistry.info/Elements/m/P30397|http://rdaregistry.info/Elements/m/P30426
contributor of computer content|m|http://rdaregistry.info/Elements/m/P30346|http://rdaregistry.info/Elements/m/P30404|http://rdaregistry.info/Elements/m/P30433
contributor of moving image|m|http://rdaregistry.info/Elements/m/P30340|http://rdaregistry.info/Elements/m/P30398|http://rdaregistry.info/Elements/m/P30427
contributor of music|m|http://rdaregistry.info/Elements/m/P30341|http://rdaregistry.info/Elements/m/P30399|http://rdaregistry.info/Elements/m/P30428
contributor of object|m|http://rdaregistry.info/Elements/m/P30345|http://rdaregistry.info/Elements/m/P30403|http://rdaregistry.info/Elements/m/P30432
contributor of speech|m|http://rdaregistry.info/Elements/m/P30342|http://rdaregistry.info/Elements/m/P30400|http://rdaregistry.info/Elements/m/P30429
illustrator|m|http://rdaregistry.info/Elements/m/P30343|http://rdaregistry.info/Elements/m/P30401|http://rdaregistry.info/Elements/m/P30430
photographer|m|http://rdaregistry.info/Elements/m/P30343|http://rdaregistry.info/Elements/m/P30401|http://rdaregistry.info/Elements/m/P30430
writer of supplementary textual content|m|http://rdaregistry.info/Elements/m/P30344|http://rdaregistry.info/Elements/m/P30402|http://rdaregistry.info/Elements/m/P30431
writer of added text|m|http://rdaregistry.info/Elements/m/P30344|http://rdaregistry.info/Elements/m/P30402|http://rdaregistry.info/Elements/m/P30431
